,Date to Expired,Date,S50U22,ATM,Call ATM Premium,Put ATM Premium,Sum ATM Premium,Call OTM Premium,Put OTM Premium,Sum OTM Premium,Open,High,Low,Close,Volatility
0,0,2022-09-29,958.07,950,958.07,958.07,1916.14,,,0.0,968.24,973.22,954.51,956.73,0.11515451958380023
1,1,2022-09-28,961.2,950,11.9,0.7,12.6,0.3,0.1,0.4,965.31,969.07,962.4,963.75,0.11514115783262029
2,2,2022-09-27,969.2,975,1.7,7.1,8.799999999999999,0.1,0.3,0.4,975.65,979.89,970.95,972.71,0.11483437896368161
3,3,2022-09-26,971.8,975,3.8,6.7,10.5,0.2,0.6,0.8,977.8,978.57,970.48,974.9,0.11486741343398645
4,4,2022-09-23,978.1,975,7.2,3.9,11.1,0.3,0.6,0.8999999999999999,988.26,990.73,980.05,980.86,0.115196678998886
5,5,2022-09-22,987.5,975,14.4,1.8,16.2,1.4,0.2,1.5999999999999999,981.36,992.47,977.65,989.15,0.11489448305202961
6,6,2022-09-21,982.9,975,12.5,4.6,17.1,1.2,1.0,2.2,986.37,988.62,983.2,983.43,0.11490963426543577
7,7,2022-09-20,982.1,975,11.9,5.1,17.0,1.0,1.0,2.0,986.7,990.22,983.71,985.66,0.114931290106064
8,8,2022-09-19,978.8,975,10.9,6.9,17.8,1.1,1.7,2.8,982.59,984.59,979.35,981.37,0.11486136721239432
9,9,2022-09-16,979.5,975,11.6,7.6,19.2,1.8,2.2,4.0,986.5,988.07,979.63,981.42,0.11536326877781694
10,10,2022-09-15,985.2,975,15.5,5.0,20.5,2.7,1.5,4.2,997.23,997.96,988.56,989.04,0.11517201306475713
11,11,2022-09-14,995.7,1000,6.2,10.2,16.4,0.9,3.1,4.0,991.86,998.94,990.42,996.41,0.11503378676168075
12,12,2022-09-13,1001.2,1000,8.9,8.0,16.9,1.5,2.4,3.9,1003.06,1005.46,998.97,1001.73,0.1159359314877247
13,13,2022-09-12,1000.1,1000,9.4,9.3,18.700000000000003,1.4,3.1,4.5,997.84,1004.56,997.2,1001.19,0.11617703240511255
14,14,2022-09-09,990.9,1000,4.5,13.8,18.3,0.6,4.8,5.3999999999999995,991.43,996.05,988.43,993.48,0.11593003252667651
15,15,2022-09-08,983.3,975,15.6,7.5,23.1,3.1,2.2,5.300000000000001,993.09,995.19,985.33,987.49,0.11612079973294241
16,16,2022-09-07,984.8,975,16.9,7.3,24.2,3.4,2.6,6.0,988.78,990.58,983.5,989.33,0.11613273459618202
17,17,2022-09-06,985.5,975,18.0,7.6,25.6,4.1,2.7,6.8,986.29,993.75,984.75,990.97,0.11838795311123132
18,18,2022-09-05,977.4,975,13.8,11.2,25.0,3.4,4.3,7.699999999999999,984.57,984.81,977.33,982.59,0.11821952683024797
19,19,2022-09-02,977.5,975,14.8,12.4,27.200000000000003,4.0,4.8,8.8,984.56,987.31,976.98,983.99,0.11845391140469949
20,20,2022-09-01,980.8,975,17.2,11.5,28.7,4.9,4.8,9.7,993.51,995.87,981.1,984.55,0.11853562593148974
21,21,2022-08-31,989.4,1000,7.7,18.8,26.5,1.2,9.1,10.299999999999999,989.33,998.53,987.55,996.33,0.118146778073068
22,22,2022-08-30,989.1,1000,7.6,19.3,26.9,1.4,8.8,10.200000000000001,987.1,996.27,984.93,994.59,0.11824385217635305
23,23,2022-08-29,978.0,975,16.2,13.0,29.2,5.2,5.6,10.8,982.93,989.91,980.16,985.36,0.11789783355189518
24,24,2022-08-26,991.3,1000,9.6,19.2,28.799999999999997,2.5,8.8,11.3,996.52,998.54,990.45,995.69,0.11754914725726333
25,25,2022-08-25,990.8,1000,9.6,19.5,29.1,2.5,9.1,11.6,993.38,997.74,990.8,995.67,0.11754994882349812
26,26,2022-08-24,984.2,975,19.8,10.7,30.5,7.4,4.8,12.2,986.78,992.73,982.79,988.14,0.11814755975161097
27,27,2022-08-23,983.5,975,19.6,11.8,31.400000000000002,7.5,5.3,12.8,975.27,989.54,972.29,987.23,0.11820278513664087
28,28,2022-08-22,970.2,975,13.1,17.9,31.0,4.7,8.7,13.399999999999999,981.75,984.0,972.97,976.2,0.11872575796630581
29,29,2022-08-19,978.4,975,18.1,14.7,32.8,6.4,7.0,13.4,987.1,989.97,981.73,983.35,0.11853206932409469
30,30,2022-08-18,987.1,975,23.4,11.2,34.599999999999994,9.2,5.5,14.7,989.84,991.92,984.87,989.0,0.11868758624255779
31,31,2022-08-17,985.7,975,22.5,11.8,34.3,8.9,5.7,14.600000000000001,987.75,993.44,985.67,991.48,0.11871086972021813
32,32,2022-08-16,981.0,975,19.8,13.9,33.7,7.9,6.7,14.600000000000001,989.11,989.96,983.73,986.68,0.11903343155972074
33,33,2022-08-15,983.0,975,20.7,13.0,33.7,8.1,6.1,14.2,985.67,990.44,982.39,986.65,0.11904239422426759
34,34,2022-08-11,979.0,975,18.3,14.7,33.0,7.3,6.6,13.899999999999999,987.14,987.83,978.63,985.62,0.11920557102647707
35,35,2022-08-10,975.0,975,17.0,16.7,33.7,6.9,7.6,14.5,980.68,983.24,974.81,983.12,0.11937700238854297
36,36,2022-08-09,977.3,975,18.0,16.6,34.6,7.6,7.8,15.399999999999999,978.49,984.8,975.64,982.23,0.11960384345264188
37,37,2022-08-08,971.1,975,15.8,19.5,35.3,6.7,10.0,16.7,969.23,979.06,961.49,979.06,0.11957945109479462
38,38,2022-08-05,962.4,950,25.5,13.9,39.4,12.9,6.7,19.6,969.56,970.31,964.1,969.41,0.11969718370555495
39,39,2022-08-04,961.7,950,26.0,14.6,40.6,13.3,6.8,20.1,969.83,971.85,963.13,967.29,0.12037031977358847
40,40,2022-08-03,962.1,950,26.6,14.5,41.1,13.4,7.1,20.5,965.3,969.58,961.6,967.19,0.12037073422071447
41,41,2022-08-02,958.4,950,24.3,15.9,40.2,12.2,7.8,20.0,963.5,968.51,961.61,965.65,0.12037625458290999
42,42,2022-08-01,958.8,950,24.5,15.9,40.4,12.3,8.1,20.4,962.56,967.61,958.52,965.53,0.12044121871320347
43,43,2022-07-27,951.9,950,21.3,19.6,40.900000000000006,11.3,10.8,22.1,951.54,959.04,947.73,958.73,0.12091700859613612
44,44,2022-07-26,945.5,950,18.8,22.7,41.5,9.8,12.7,22.5,955.13,956.13,949.36,950.42,0.12062801702649914
45,45,2022-07-25,947.6,950,19.4,21.5,40.9,10.2,12.2,22.4,950.58,955.54,945.61,953.07,0.12068412441523736
46,46,2022-07-22,945.8,950,18.5,22.8,41.3,8.6,12.3,20.9,948.57,952.24,942.27,950.2,0.12225557642863327
47,47,2022-07-21,937.8,950,14.5,26.8,41.3,6.7,15.3,22.0,941.07,946.97,938.22,944.99,0.12245969632191073
48,48,2022-07-20,934.3,925,26.0,16.6,42.6,14.2,9.0,23.2,945.45,946.16,938.35,941.96,0.12260611487553925
49,49,2022-07-19,934.2,925,26.5,17.5,44.0,14.0,9.4,23.4,944.56,945.85,932.17,940.27,0.12259780823657292
50,50,2022-07-18,940.9,950,16.3,25.5,41.8,7.5,14.3,21.8,944.45,949.64,941.38,947.96,0.12262091982220191
51,51,2022-07-15,933.9,925,26.9,17.2,44.099999999999994,14.0,9.0,23.0,943.48,944.22,929.92,940.9,0.12245004046256971
52,52,2022-07-14,935.2,925,27.0,17.4,44.4,14.5,8.9,23.4,946.02,949.83,938.29,942.57,0.12249663270111001
53,53,2022-07-12,941.7,950,17.4,25.8,43.2,8.3,14.6,22.9,953.07,954.76,945.46,948.5,0.12256831776896625
54,54,2022-07-11,949.6,950,21.4,21.9,43.3,10.4,12.2,22.6,953.03,955.82,949.09,955.75,0.12242302464061014
55,55,2022-07-08,950.1,950,21.6,21.7,43.3,10.4,12.5,22.9,959.41,960.27,950.81,954.36,0.12242260699303203
56,56,2022-07-07,949.4,950,22.7,22.7,45.4,10.7,13.4,24.1,946.14,956.59,943.1,954.85,0.12245785057231381
57,57,2022-07-06,937.7,950,17.4,29.9,47.3,8.5,17.9,26.4,943.19,947.33,936.9,944.15,0.12197062074383626
58,58,2022-07-05,934.6,925,29.0,19.8,48.8,16.2,11.6,27.799999999999997,955.02,957.81,941.19,943.49,0.12197193870062754
59,59,2022-07-04,941.3,950,18.9,28.0,46.9,9.8,17.0,26.8,957.05,959.09,949.52,950.85,0.12201883356324852
60,60,2022-07-01,944.8,950,21.6,26.9,48.5,11.3,16.4,27.7,953.74,958.2,948.88,955.99,0.12193355646080498
61,61,2022-06-30,939.6,950,19.0,29.1,48.1,9.5,18.4,27.9,963.43,965.55,948.8,951.07,0.1219805732674173
62,62,2022-06-29,952.4,950,25.0,22.8,47.8,12.7,13.6,26.299999999999997,963.19,965.61,959.57,963.08,0.12134338985886377
63,63,2022-06-28,956.9,950,28.0,21.0,49.0,14.8,12.8,27.6,958.59,969.95,955.48,968.73,0.1215450775952416
64,64,2022-06-27,951.9,950,26.0,23.8,49.8,14.8,14.8,29.6,956.47,961.87,954.97,958.71,0.1211109814836057
65,65,2022-06-24,942.2,950,22.5,30.0,52.5,13.3,18.5,31.8,949.69,951.68,943.69,950.36,0.12115355073968305
66,66,2022-06-23,936.8,925,33.7,22.0,55.7,21.0,13.2,34.2,948.14,948.58,940.87,943.42,0.12092234144322599
67,67,2022-06-22,936.2,925,31.6,21.5,53.1,21.0,13.7,34.7,950.86,951.83,939.3,945.8,0.12125432521421851
68,68,2022-06-21,946.7,950,25.3,29.1,54.400000000000006,14.8,18.5,33.3,952.71,956.85,947.16,954.71,0.12089736346634485
69,69,2022-06-20,936.5,925,34.0,22.5,56.5,21.2,14.2,35.4,942.82,950.24,940.16,946.34,0.12057063921838373
70,70,2022-06-17,937.0,925,33.5,22.8,56.3,21.0,14.5,35.5,941.07,952.25,936.57,945.05,0.12071067803181451
71,71,2022-06-16,934.7,925,33.9,23.0,56.9,21.5,14.0,35.5,972.18,973.71,944.78,944.9,0.12074352608785933
72,72,2022-06-15,958.2,950,31.0,23.4,54.4,18.5,14.8,33.3,971.21,972.11,962.64,965.91,0.12027966362801978
73,73,2022-06-14,960.0,950,32.5,22.9,55.4,19.8,14.3,34.1,968.12,974.12,964.07,970.69,0.1203595281083717
74,74,2022-06-13,960.9,950,34.5,24.1,58.6,21.4,15.6,37.0,975.27,978.03,967.11,968.75,0.1203479351464688
75,75,2022-06-10,979.6,975,28.1,24.4,52.5,16.2,15.7,31.9,989.69,992.73,985.84,987.61,0.11914161593358819
76,76,2022-06-09,984.1,975,30.6,21.4,52.0,17.6,13.7,31.3,988.71,995.94,987.87,993.15,0.1198067167864325
77,77,2022-06-08,978.8,975,27.9,25.1,53.0,16.5,16.0,32.5,990.39,991.57,983.94,988.66,0.11976954216416409
78,78,2022-06-07,978.7,975,27.3,25.5,52.8,16.4,16.5,32.9,992.69,993.52,984.36,986.07,0.11974950322722358
79,79,2022-06-06,986.9,975,33.5,22.5,56.0,20.0,15.0,35.0,997.63,998.8,987.92,995.24,0.1195096864736957
80,80,2022-06-02,988.6,1000,21.5,34.0,55.5,11.2,22.3,33.5,999.3,1000.33,994.25,995.9,0.11965313188904513
81,81,2022-06-01,993.6,1000,23.5,30.5,54.0,13.2,20.2,33.4,1000.98,1004.63,997.2,1002.24,0.11991175064880515
82,82,2022-05-31,990.9,1000,24.2,32.6,56.8,12.7,21.5,34.2,995.6,1002.27,992.26,1002.24,0.11991149011161241
83,83,2022-05-30,988.8,1000,23.0,34.9,57.9,11.5,22.8,34.3,994.38,998.18,990.79,995.88,0.11975476290747392
84,84,2022-05-27,979.0,975,30.9,27.4,58.3,17.6,18.5,36.1,990.58,992.21,982.59,987.08,0.1204089137089339
85,85,2022-05-26,973.3,975,28.5,29.6,58.1,16.6,19.8,36.400000000000006,981.26,985.03,979.96,983.09,0.12043884339148828
86,86,2022-05-25,967.8,975,25.1,32.0,57.1,14.6,22.0,36.6,983.16,988.85,977.13,977.46,0.1203355079193186
87,87,2022-05-24,970.4,975,27.0,33.5,60.5,15.5,22.0,37.5,986.94,987.55,978.75,979.56,0.1203726363726603
88,88,2022-05-23,977.1,975,31.5,30.2,61.7,17.8,21.0,38.8,981.02,986.98,978.41,986.94,0.12060187866753025
89,89,2022-05-20,969.4,975,28.3,34.1,62.400000000000006,15.8,23.3,39.1,975.45,980.31,973.07,977.36,0.12139228971184203
90,90,2022-05-19,954.3,950,34.8,30.3,65.1,21.7,20.6,42.3,964.11,971.48,961.58,966.84,0.12414398779943728
91,91,2022-05-18,966.3,975,26.9,35.4,62.3,14.4,24.9,39.3,972.63,979.27,967.11,977.01,0.12402342016931404
92,92,2022-05-17,961.2,950,38.1,27.0,65.1,25.0,17.7,42.7,961.01,971.8,956.04,970.51,0.12430823489040897
93,93,2022-05-13,942.4,950,25.0,36.0,61.0,19.0,24.4,43.4,955.93,958.63,949.3,953.06,0.12351217279202475
94,94,2022-05-12,938.1,950,27.6,40.4,68.0,17.5,27.0,44.5,958.02,958.73,945.9,950.31,0.12348072846817397
95,95,2022-05-11,950.9,950,32.0,32.0,64.0,20.3,20.0,40.3,964.18,965.66,955.25,961.66,0.122908237888849
96,96,2022-05-10,953.3,950,34.4,32.4,66.8,22.2,20.0,42.2,953.02,965.49,948.9,965.49,0.1232969473417389
97,97,2022-05-09,942.2,950,30.0,36.5,66.5,21.5,24.7,46.2,964.09,964.49,953.46,954.33,0.12313356845276012
98,98,2022-05-06,958.1,950,35.6,28.7,64.3,23.0,18.5,41.5,967.76,972.1,963.95,966.79,0.12246510522081197
99,99,2022-05-05,965.7,975,26.0,33.5,59.5,15.0,22.9,37.9,986.61,989.4,976.89,976.98,0.12206687972557573
100,100,2022-05-03,968.9,975,27.5,33.7,61.2,17.0,21.8,38.8,983.39,984.8,976.79,979.01,0.12289789866943587
101,101,2022-04-29,971.8,975,30.0,26.9,56.9,18.6,21.0,39.6,983.67,989.38,983.25,983.56,0.12293167670881422
102,102,2022-04-28,972.0,975,29.7,32.0,61.7,19.1,21.0,40.1,979.57,985.22,977.16,983.54,0.12394290472902046
103,103,2022-04-27,970.8,975,29.5,34.4,63.9,17.9,23.0,40.9,980.9,982.69,974.86,978.76,0.12399871404813245
104,104,2022-04-26,975.0,975,31.0,30.9,61.9,19.4,20.6,40.0,987.52,990.66,981.09,981.16,0.12397233018137446
105,105,2022-04-25,972.1,975,28.8,32.9,61.7,20.0,23.0,43.0,987.15,989.08,982.54,983.07,0.12489181819329988
106,106,2022-04-22,984.1,975,38.0,22.9,60.9,27.0,20.5,47.5,994.51,996.85,989.48,995.8,0.1247823844763628
107,107,2022-04-21,991.5,1000,31.0,38.5,69.5,20.0,28.0,48.0,997.94,1001.89,995.88,998.37,0.12475448971785488
108,108,2022-04-20,985.9,975,40.0,29.5,69.5,28.0,21.2,49.2,992.32,997.94,989.97,993.94,0.12475780058450389
109,109,2022-04-19,983.6,975,40.0,30.0,70.0,27.0,20.4,47.4,997.53,999.75,991.54,991.59,0.12474694841020038
110,110,2022-04-18,982.9,975,38.3,30.4,68.69999999999999,26.3,20.6,46.900000000000006,991.83,998.46,990.37,991.8,0.12485026809170835
111,111,2022-04-12,988.9,1000,30.0,38.4,68.4,20.0,28.7,48.7,998.53,1001.18,995.24,996.54,0.12482059348858102
112,112,2022-04-11,991.4,1000,31.1,40.0,71.1,20.7,27.8,48.5,1003.6,1005.48,998.66,1002.47,0.1246853082127006
113,113,2022-04-08,997.1,1000,34.0,38.5,72.5,22.0,26.7,48.7,1008.22,1010.39,1002.48,1006.33,0.12462037071381983
114,114,2022-04-07,997.6,1000,32.6,35.4,68.0,21.4,25.6,47.0,1015.57,1016.32,1002.48,1006.38,0.12467933178970099
115,115,2022-04-05,1010.1,1000,38.2,30.4,68.6,26.3,17.0,43.3,1024.11,1027.07,1019.37,1021.32,0.12379216616865207
116,116,2022-04-04,1012.3,1000,39.6,32.5,72.1,27.4,22.0,49.4,1025.39,1026.23,1020.19,1022.81,0.12378045408264787
117,117,2022-04-01,1012.5,1000,40.7,32.8,73.5,28.9,22.0,50.9,1018.2,1024.14,1016.6,1023.66,0.12398832919417165
118,118,2022-03-31,1010.6,1000,40.6,30.7,71.3,26.5,19.3,45.8,1022.09,1024.41,1017.94,1019.67,0.12394320136739807
119,119,2022-03-30,1011.8,1000,41.1,28.9,70.0,28.5,23.0,51.5,1019.64,1026.1,1017.18,1022.83,0.12391570137966637
120,120,2022-03-29,1004.9,1000,0.0,0.0,0.0,,,,1014.63,1018.53,1012.59,1016.8,0.12383077001553335
